filter_name,mode,iterative_scan,ef_search,guided_collect_target,max_scan_tuples,scan_mem_multiplier,traversal_guided_prioritization
labelor_top70,original,*,200,1,5000000,32,false
labelor_top70,design1_bloom,*,200,1,5000000,32,false
labelor_top55,original,*,200,1,5000000,32,false
labelor_top55,design1_bloom,*,200,1,5000000,32,false
labelor_top40,original,*,200,1,5000000,32,false
labelor_top40,design1_bloom,*,200,1,5000000,32,false
labelor_top30,original,*,200,1,5000000,32,false
labelor_top30,design1_bloom,*,200,1,5000000,32,false
labelor_top20,original,*,200,1,5000000,32,false
labelor_top20,design1_bloom,*,200,1,5000000,32,false
labelor_top14,original,*,250,1,5000000,32,false
labelor_top14,design1_bloom,*,250,1,5000000,32,false
labelor_top9,original,*,500,1,5000000,32,false
labelor_top9,design1_bloom,*,250,1,5000000,32,false
labelor_top6,original,*,750,1,5000000,32,false
labelor_top6,design1_bloom,*,250,1,5000000,32,false
labelor_top3,original,*,1500,1,5000000,32,false
labelor_top3,design1_bloom,*,500,1,5000000,32,false
label_175,original,*,3000,1,5000000,32,false
label_175,design1_bloom,*,750,1,5000000,32,false
label_79,original,*,7000,1,5000000,32,false
label_79,design1_bloom,*,1000,1,5000000,32,false
label_2039,original,*,100000,1,5000000,32,false
label_2039,design1_bloom,*,100000,1,5000000,32,false
label_1432,original,*,30000,1,5000000,32,false
label_1432,design1_bloom,*,3000,1,5000000,32,false
label_281,original,*,50000,1,5000000,32,false
label_281,design1_bloom,*,5000,1,5000000,32,false
