filter_name,mode,iterative_scan,ef_search,guided_collect_target,max_scan_tuples,scan_mem_multiplier,traversal_guided_prioritization
tagor_23_29,original,*,200,1,5000000,32,false
tagor_23_29,design1_bloom,*,200,1,5000000,32,false
tagor_23_89,original,*,100,1,5000000,32,false
tagor_23_89,design1_bloom,*,100,1,5000000,32,false
tagor_23_3,original,*,100,1,5000000,32,false
tagor_23_3,design1_bloom,*,100,1,5000000,32,false
tagor_23_90,original,*,200,1,5000000,32,false
tagor_23_90,design1_bloom,*,200,1,5000000,32,false
tagor_29_8,original,*,100,1,5000000,32,false
tagor_29_8,design1_bloom,*,100,1,5000000,32,false
tagor_89_18,original,*,100,1,5000000,32,false
tagor_89_18,design1_bloom,*,100,1,5000000,32,false
tagor_8_28,original,*,150,1,5000000,32,false
tagor_8_28,design1_bloom,*,150,1,5000000,32,false
tagor_20_12,original,*,150,1,5000000,32,false
tagor_20_12,design1_bloom,*,150,1,5000000,32,false
tagor_3_515,original,*,150,1,5000000,32,false
tagor_3_515,design1_bloom,*,150,1,5000000,32,false
tagor_24,original,*,1000,1,5000000,32,false
tagor_24,design1_bloom,*,1000,1,5000000,32,false
tagor_36_414,original,*,1500,1,5000000,32,false
tagor_36_414,design1_bloom,*,500,1,5000000,32,false
tagor_430_3076,original,*,250,1,5000000,32,false
tagor_430_3076,design1_bloom,*,250,1,5000000,32,false
tagor_902,original,*,150,1,5000000,32,false
tagor_902,design1_bloom,*,60,1,5000000,32,false
tagor_990,original,*,200,1,5000000,32,false
tagor_990,design1_bloom,*,20,1,5000000,32,false
